Time,BookId,ChapterId,Number,Status,Note
2023-08-17 10:24:24:82,EXO,EXO.18,18,200 - Success,--,
2023-08-17 10:24:24:956,EXO,EXO.19,19,200 - Success,--,
2023-08-17 10:24:25:94,EXO,EXO.20,20,200 - Success,--,
2023-08-17 10:24:25:252,EXO,EXO.21,21,200 - Success,--,
2023-08-17 10:24:25:328,EXO,EXO.22,22,200 - Success,--,
2023-08-17 10:24:25:967,EXO,EXO.23,23,200 - Success,--,
2023-08-17 10:24:26:66,EXO,EXO.24,24,200 - Success,--,
2023-08-17 10:24:26:216,EXO,EXO.25,25,200 - Success,--,
2023-08-17 10:24:26:322,EXO,EXO.26,26,200 - Success,--,
2023-08-17 10:24:27:99,EXO,EXO.27,27,200 - Success,--,
2023-08-17 10:24:27:259,EXO,EXO.28,28,200 - Success,--,
2023-08-17 10:24:27:353,EXO,EXO.29,29,200 - Success,--,
2023-08-17 10:24:27:446,EXO,EXO.30,30,200 - Success,--,
2023-08-17 10:24:28:36,EXO,EXO.31,31,200 - Success,--,
2023-08-17 10:24:28:150,EXO,EXO.33,33,200 - Success,--,
2023-08-17 10:24:28:304,EXO,EXO.34,34,200 - Success,--,
2023-08-17 10:24:28:414,EXO,EXO.32,32,200 - Success,--,
2023-08-17 10:24:29:928,EXO,EXO.35,35,200 - Success,--,
2023-08-17 10:24:30:149,EXO,EXO.36,36,200 - Success,--,
2023-08-17 10:24:30:231,EXO,EXO.38,38,200 - Success,--,
2023-08-17 10:24:30:289,EXO,EXO.37,37,200 - Success,--,
2023-08-17 10:24:30:927,EXO,EXO.39,39,200 - Success,--,
2023-08-17 10:24:30:995,EXO,EXO.40,40,200 - Success,--,
2023-08-17 10:24:31:99,LEV,LEV.2,2,200 - Success,--,
2023-08-17 10:24:31:151,LEV,LEV.1,1,200 - Success,--,
2023-08-17 10:24:31:867,LEV,LEV.3,3,200 - Success,--,
2023-08-17 10:24:31:916,LEV,LEV.4,4,200 - Success,--,
2023-08-17 10:24:31:972,LEV,LEV.5,5,200 - Success,--,
2023-08-17 10:24:32:43,LEV,LEV.6,6,200 - Success,--,
2023-08-17 10:24:32:593,LEV,LEV.7,7,200 - Success,--,
2023-08-17 10:24:32:631,LEV,LEV.8,8,200 - Success,--,
2023-08-17 10:24:32:712,LEV,LEV.9,9,200 - Success,--,
2023-08-17 10:24:32:788,LEV,LEV.10,10,200 - Success,--,
2023-08-17 10:24:33:357,LEV,LEV.12,12,200 - Success,--,
2023-08-17 10:24:33:401,LEV,LEV.11,11,200 - Success,--,
2023-08-17 10:24:33:495,LEV,LEV.14,14,200 - Success,--,
2023-08-17 10:24:33:544,LEV,LEV.13,13,200 - Success,--,
2023-08-17 10:24:34:41,LEV,LEV.15,15,200 - Success,--,
2023-08-17 10:24:34:173,LEV,LEV.16,16,200 - Success,--,
2023-08-17 10:24:34:249,LEV,LEV.18,18,200 - Success,--,
2023-08-17 10:24:34:302,LEV,LEV.17,17,200 - Success,--,
2023-08-17 10:24:34:817,LEV,LEV.19,19,200 - Success,--,
2023-08-17 10:24:34:861,LEV,LEV.20,20,200 - Success,--,
2023-08-17 10:24:34:906,LEV,LEV.21,21,200 - Success,--,
2023-08-17 10:24:34:973,LEV,LEV.22,22,200 - Success,--,
2023-08-17 10:24:35:507,LEV,LEV.23,23,200 - Success,--,
2023-08-17 10:24:35:563,LEV,LEV.24,24,200 - Success,--,
2023-08-17 10:24:35:677,LEV,LEV.26,26,200 - Success,--,
2023-08-17 10:24:35:760,LEV,LEV.25,25,200 - Success,--,
2023-08-17 10:24:36:365,LEV,LEV.27,27,200 - Success,--,
2023-08-17 10:24:36:545,NUM,NUM.1,1,200 - Success,--,
2023-08-17 10:24:36:643,NUM,NUM.3,3,200 - Success,--,
2023-08-17 10:24:36:709,NUM,NUM.2,2,200 - Success,--,
2023-08-17 10:24:37:412,NUM,NUM.5,5,200 - Success,--,
2023-08-17 10:24:37:507,NUM,NUM.4,4,200 - Success,--,
2023-08-17 10:24:37:586,NUM,NUM.6,6,200 - Success,--,
2023-08-17 10:24:37:660,NUM,NUM.7,7,200 - Success,--,
2023-08-17 10:24:38:236,NUM,NUM.8,8,200 - Success,--,
2023-08-17 10:24:38:291,NUM,NUM.9,9,200 - Success,--,
2023-08-17 10:24:38:387,NUM,NUM.10,10,200 - Success,--,
2023-08-17 10:24:38:450,NUM,NUM.11,11,200 - Success,--,
2023-08-17 10:24:38:991,NUM,NUM.12,12,200 - Success,--,
2023-08-17 10:24:39:37,NUM,NUM.13,13,200 - Success,--,
2023-08-17 10:24:39:90,NUM,NUM.14,14,200 - Success,--,
2023-08-17 10:24:39:164,NUM,NUM.15,15,200 - Success,--,
2023-08-17 10:24:39:689,NUM,NUM.16,16,200 - Success,--,
2023-08-17 10:24:39:726,NUM,NUM.17,17,200 - Success,--,
2023-08-17 10:24:39:804,NUM,NUM.19,19,200 - Success,--,
2023-08-17 10:24:39:851,NUM,NUM.18,18,200 - Success,--,
2023-08-17 10:24:40:365,NUM,NUM.21,21,200 - Success,--,
2023-08-17 10:24:40:403,NUM,NUM.20,20,200 - Success,--,
2023-08-17 10:24:40:483,NUM,NUM.23,23,200 - Success,--,
2023-08-17 10:24:40:522,NUM,NUM.22,22,200 - Success,--,
2023-08-17 10:24:41:68,NUM,NUM.24,24,200 - Success,--,
2023-08-17 10:24:41:109,NUM,NUM.27,27,200 - Success,--,
2023-08-17 10:24:41:171,NUM,NUM.26,26,200 - Success,--,
2023-08-17 10:24:41:203,NUM,NUM.25,25,200 - Success,--,
2023-08-17 10:24:41:718,NUM,NUM.28,28,200 - Success,--,
2023-08-17 10:24:41:757,NUM,NUM.29,29,200 - Success,--,
2023-08-17 10:24:41:802,NUM,NUM.31,31,200 - Success,--,
2023-08-17 10:24:41:839,NUM,NUM.30,30,200 - Success,--,
2023-08-17 10:24:42:334,NUM,NUM.32,32,200 - Success,--,
2023-08-17 10:24:42:367,NUM,NUM.34,34,200 - Success,--,
2023-08-17 10:24:42:397,NUM,NUM.33,33,200 - Success,--,
2023-08-17 10:24:42:481,NUM,NUM.35,35,200 - Success,--,
2023-08-17 10:24:42:973,NUM,NUM.36,36,200 - Success,--,
2023-08-17 10:24:43:35,DEU,DEU.1,1,200 - Success,--,
2023-08-17 10:24:43:96,DEU,DEU.2,2,200 - Success,--,
2023-08-17 10:24:43:127,DEU,DEU.3,3,200 - Success,--,
2023-08-17 10:24:43:633,DEU,DEU.4,4,200 - Success,--,
2023-08-17 10:24:43:670,DEU,DEU.5,5,200 - Success,--,
2023-08-17 10:24:43:704,DEU,DEU.6,6,200 - Success,--,
2023-08-17 10:24:43:736,DEU,DEU.7,7,200 - Success,--,
2023-08-17 10:24:44:322,DEU,DEU.8,8,200 - Success,--,
2023-08-17 10:24:44:361,DEU,DEU.11,11,200 - Success,--,
2023-08-17 10:24:44:392,DEU,DEU.10,10,200 - Success,--,
2023-08-17 10:24:44:419,DEU,DEU.9,9,200 - Success,--,
2023-08-17 10:24:44:890,DEU,DEU.12,12,200 - Success,--,
2023-08-17 10:24:44:934,DEU,DEU.13,13,200 - Success,--,
2023-08-17 10:24:44:994,DEU,DEU.15,15,200 - Success,--,
2023-08-17 10:24:45:27,DEU,DEU.14,14,200 - Success,--,
2023-08-17 10:24:45:551,DEU,DEU.16,16,200 - Success,--,
2023-08-17 10:24:45:584,DEU,DEU.17,17,200 - Success,--,
2023-08-17 10:24:45:615,DEU,DEU.18,18,200 - Success,--,
2023-08-17 10:24:45:646,DEU,DEU.19,19,200 - Success,--,
2023-08-17 10:24:46:139,DEU,DEU.20,20,200 - Success,--,
2023-08-17 10:24:46:166,DEU,DEU.23,23,200 - Success,--,
2023-08-17 10:24:46:193,DEU,DEU.21,21,200 - Success,--,
2023-08-17 10:24:46:288,DEU,DEU.22,22,200 - Success,--,
2023-08-17 10:24:46:775,DEU,DEU.25,25,200 - Success,--,
2023-08-17 10:24:46:822,DEU,DEU.24,24,200 - Success,--,
2023-08-17 10:24:46:858,DEU,DEU.26,26,200 - Success,--,
2023-08-17 10:24:46:908,DEU,DEU.27,27,200 - Success,--,
2023-08-17 10:24:47:405,DEU,DEU.28,28,200 - Success,--,
2023-08-17 10:24:47:431,DEU,DEU.29,29,200 - Success,--,
2023-08-17 10:24:47:456,DEU,DEU.30,30,200 - Success,--,
2023-08-17 10:24:47:490,DEU,DEU.31,31,200 - Success,--,
2023-08-17 10:24:48:24,JOS,JOS.1,1,200 - Success,--,
2023-08-17 10:24:48:64,DEU,DEU.33,33,200 - Success,--,
2023-08-17 10:24:48:83,DEU,DEU.34,34,200 - Success,--,
2023-08-17 10:24:48:118,DEU,DEU.32,32,200 - Success,--,
2023-08-17 10:24:48:662,JOS,JOS.2,2,200 - Success,--,
2023-08-17 10:24:48:697,JOS,JOS.3,3,200 - Success,--,
2023-08-17 10:24:48:723,JOS,JOS.5,5,200 - Success,--,
2023-08-17 10:24:48:817,JOS,JOS.4,4,200 - Success,--,
2023-08-17 10:24:49:431,JOS,JOS.9,9,200 - Success,--,
2023-08-17 10:24:49:458,JOS,JOS.8,8,200 - Success,--,
2023-08-17 10:24:49:502,JOS,JOS.7,7,200 - Success,--,
2023-08-17 10:24:49:539,JOS,JOS.6,6,200 - Success,--,
2023-08-17 10:24:50:6,JOS,JOS.10,10,200 - Success,--,
2023-08-17 10:24:50:125,JOS,JOS.12,12,200 - Success,--,
2023-08-17 10:24:50:147,JOS,JOS.11,11,200 - Success,--,
2023-08-17 10:24:50:173,JOS,JOS.13,13,200 - Success,--,
2023-08-17 10:24:50:662,JOS,JOS.14,14,200 - Success,--,
2023-08-17 10:24:50:694,JOS,JOS.15,15,200 - Success,--,
2023-08-17 10:24:50:713,JOS,JOS.16,16,200 - Success,--,
2023-08-17 10:24:50:733,JOS,JOS.17,17,200 - Success,--,
2023-08-17 10:24:51:184,JOS,JOS.18,18,200 - Success,--,
2023-08-17 10:24:51:225,JOS,JOS.19,19,200 - Success,--,
2023-08-17 10:24:51:252,JOS,JOS.20,20,200 - Success,--,
2023-08-17 10:24:51:282,JOS,JOS.21,21,200 - Success,--,
2023-08-17 10:24:51:884,JOS,JOS.23,23,200 - Success,--,
2023-08-17 10:24:51:901,JDG,JDG.1,1,200 - Success,--,
2023-08-17 10:24:51:929,JOS,JOS.24,24,200 - Success,--,
2023-08-17 10:24:51:956,JOS,JOS.22,22,200 - Success,--,
2023-08-17 10:24:52:382,JDG,JDG.2,2,200 - Success,--,
2023-08-17 10:24:52:459,JDG,JDG.3,3,200 - Success,--,
2023-08-17 10:24:52:506,JDG,JDG.4,4,200 - Success,--,
2023-08-17 10:24:52:540,JDG,JDG.5,5,200 - Success,--,
2023-08-17 10:24:53:13,JDG,JDG.7,7,200 - Success,--,
2023-08-17 10:24:53:45,JDG,JDG.6,6,200 - Success,--,
2023-08-17 10:24:53:151,JDG,JDG.9,9,200 - Success,--,
2023-08-17 10:24:53:181,JDG,JDG.8,8,200 - Success,--,
2023-08-17 10:24:53:635,JDG,JDG.10,10,200 - Success,--,
2023-08-17 10:24:53:681,JDG,JDG.11,11,200 - Success,--,
2023-08-17 10:24:53:706,JDG,JDG.13,13,200 - Success,--,
2023-08-17 10:24:53:804,JDG,JDG.12,12,200 - Success,--,
2023-08-17 10:24:54:247,JDG,JDG.14,14,200 - Success,--,
2023-08-17 10:24:54:268,JDG,JDG.15,15,200 - Success,--,
2023-08-17 10:24:54:294,JDG,JDG.17,17,200 - Success,--,
2023-08-17 10:24:54:323,JDG,JDG.16,16,200 - Success,--,
2023-08-17 10:24:54:783,JDG,JDG.19,19,200 - Success,--,
2023-08-17 10:24:54:804,JDG,JDG.20,20,200 - Success,--,
2023-08-17 10:24:54:827,JDG,JDG.18,18,200 - Success,--,
2023-08-17 10:24:54:920,JDG,JDG.21,21,200 - Success,--,
2023-08-17 10:24:55:375,RUT,RUT.1,1,200 - Success,--,
2023-08-17 10:24:55:401,RUT,RUT.4,4,200 - Success,--,
2023-08-17 10:24:55:424,RUT,RUT.2,2,200 - Success,--,
2023-08-17 10:24:55:451,RUT,RUT.3,3,200 - Success,--,
2023-08-17 10:24:55:910,1SA,1SA.1,1,200 - Success,--,
2023-08-17 10:24:55:940,1SA,1SA.2,2,200 - Success,--,
2023-08-17 10:24:55:976,1SA,1SA.3,3,200 - Success,--,
2023-08-17 10:24:56:0,1SA,1SA.4,4,200 - Success,--,
2023-08-17 10:24:56:438,1SA,1SA.5,5,200 - Success,--,
2023-08-17 10:24:56:506,1SA,1SA.6,6,200 - Success,--,
2023-08-17 10:24:56:549,1SA,1SA.7,7,200 - Success,--,
2023-08-17 10:24:56:568,1SA,1SA.8,8,200 - Success,--,
2023-08-17 10:24:57:7,1SA,1SA.11,11,200 - Success,--,
2023-08-17 10:24:57:24,1SA,1SA.10,10,200 - Success,--,
2023-08-17 10:24:57:42,1SA,1SA.9,9,200 - Success,--,
2023-08-17 10:24:57:83,1SA,1SA.12,12,200 - Success,--,
2023-08-17 10:24:57:548,1SA,1SA.13,13,200 - Success,--,
2023-08-17 10:24:57:576,1SA,1SA.15,15,200 - Success,--,
2023-08-17 10:24:57:605,1SA,1SA.16,16,200 - Success,--,
2023-08-17 10:24:57:634,1SA,1SA.14,14,200 - Success,--,
2023-08-17 10:24:58:54,1SA,1SA.18,18,200 - Success,--,
2023-08-17 10:24:58:93,1SA,1SA.17,17,200 - Success,--,
2023-08-17 10:24:58:123,1SA,1SA.19,19,200 - Success,--,
2023-08-17 10:24:58:177,1SA,1SA.20,20,200 - Success,--,
2023-08-17 10:24:58:618,1SA,1SA.21,21,200 - Success,--,
2023-08-17 10:24:58:649,1SA,1SA.22,22,200 - Success,--,
2023-08-17 10:24:58:671,1SA,1SA.24,24,200 - Success,--,
2023-08-17 10:24:58:697,1SA,1SA.23,23,200 - Success,--,
2023-08-17 10:24:59:129,1SA,1SA.25,25,200 - Success,--,
2023-08-17 10:24:59:162,1SA,1SA.27,27,200 - Success,--,
2023-08-17 10:24:59:201,1SA,1SA.28,28,200 - Success,--,
2023-08-17 10:24:59:236,1SA,1SA.26,26,200 - Success,--,
2023-08-17 10:24:59:716,1SA,1SA.29,29,200 - Success,--,
2023-08-17 10:24:59:751,1SA,1SA.30,30,200 - Success,--,
2023-08-17 10:24:59:824,1SA,1SA.31,31,200 - Success,--,
2023-08-17 10:24:59:891,2SA,2SA.1,1,200 - Success,--,
2023-08-17 10:25:00:430,2SA,2SA.2,2,200 - Success,--,
2023-08-17 10:25:00:487,2SA,2SA.5,5,200 - Success,--,
2023-08-17 10:25:00:512,2SA,2SA.3,3,200 - Success,--,
2023-08-17 10:25:00:535,2SA,2SA.4,4,200 - Success,--,
2023-08-17 10:25:01:11,2SA,2SA.6,6,200 - Success,--,
2023-08-17 10:25:01:55,2SA,2SA.9,9,200 - Success,--,
2023-08-17 10:25:01:90,2SA,2SA.7,7,200 - Success,--,
2023-08-17 10:25:01:113,2SA,2SA.8,8,200 - Success,--,
2023-08-17 10:25:01:570,2SA,2SA.10,10,200 - Success,--,
2023-08-17 10:25:01:593,2SA,2SA.11,11,200 - Success,--,
2023-08-17 10:25:01:620,2SA,2SA.12,12,200 - Success,--,
2023-08-17 10:25:01:729,2SA,2SA.13,13,200 - Success,--,
2023-08-17 10:25:02:220,2SA,2SA.14,14,200 - Success,--,
2023-08-17 10:25:02:270,2SA,2SA.15,15,200 - Success,--,
2023-08-17 10:25:02:339,2SA,2SA.16,16,200 - Success,--,
2023-08-17 10:25:02:371,2SA,2SA.17,17,200 - Success,--,
2023-08-17 10:25:02:854,2SA,2SA.19,19,200 - Success,--,
2023-08-17 10:25:02:894,2SA,2SA.21,21,200 - Success,--,
2023-08-17 10:25:02:922,2SA,2SA.18,18,200 - Success,--,
2023-08-17 10:25:02:947,2SA,2SA.20,20,200 - Success,--,
2023-08-17 10:25:03:409,2SA,2SA.24,24,200 - Success,--,
2023-08-17 10:25:03:437,2SA,2SA.22,22,200 - Success,--,
2023-08-17 10:25:03:484,2SA,2SA.23,23,200 - Success,--,
2023-08-17 10:25:03:511,1KI,1KI.1,1,200 - Success,--,
2023-08-17 10:25:03:961,1KI,1KI.2,2,200 - Success,--,
2023-08-17 10:25:04:1,1KI,1KI.5,5,200 - Success,--,
2023-08-17 10:25:04:52,1KI,1KI.3,3,200 - Success,--,
2023-08-17 10:25:04:87,1KI,1KI.4,4,200 - Success,--,
2023-08-17 10:25:04:591,1KI,1KI.6,6,200 - Success,--,
2023-08-17 10:25:04:616,1KI,1KI.7,7,200 - Success,--,
2023-08-17 10:25:04:644,1KI,1KI.9,9,200 - Success,--,
2023-08-17 10:25:04:675,1KI,1KI.8,8,200 - Success,--,
2023-08-17 10:25:05:90,1KI,1KI.10,10,200 - Success,--,
2023-08-17 10:25:05:155,1KI,1KI.11,11,200 - Success,--,
2023-08-17 10:25:05:195,1KI,1KI.12,12,200 - Success,--,
2023-08-17 10:25:05:227,1KI,1KI.13,13,200 - Success,--,
2023-08-17 10:25:05:693,1KI,1KI.14,14,200 - Success,--,
2023-08-17 10:25:05:741,1KI,1KI.15,15,200 - Success,--,
2023-08-17 10:25:05:771,1KI,1KI.16,16,200 - Success,--,
2023-08-17 10:25:05:811,1KI,1KI.17,17,200 - Success,--,
2023-08-17 10:25:06:260,1KI,1KI.19,19,200 - Success,--,
2023-08-17 10:25:06:295,1KI,1KI.18,18,200 - Success,--,
2023-08-17 10:25:06:371,1KI,1KI.21,21,200 - Success,--,
2023-08-17 10:25:06:414,1KI,1KI.20,20,200 - Success,--,
2023-08-17 10:25:06:870,2KI,2KI.1,1,200 - Success,--,
2023-08-17 10:25:06:898,1KI,1KI.22,22,200 - Success,--,
2023-08-17 10:25:06:982,2KI,2KI.3,3,200 - Success,--,
2023-08-17 10:25:07:2,2KI,2KI.2,2,200 - Success,--,
2023-08-17 10:25:07:475,2KI,2KI.5,5,200 - Success,--,
2023-08-17 10:25:07:496,2KI,2KI.4,4,200 - Success,--,
2023-08-17 10:25:07:559,2KI,2KI.6,6,200 - Success,--,
2023-08-17 10:25:07:603,2KI,2KI.7,7,200 - Success,--,
2023-08-17 10:25:08:63,2KI,2KI.8,8,200 - Success,--,
2023-08-17 10:25:08:88,2KI,2KI.9,9,200 - Success,--,
2023-08-17 10:25:08:117,2KI,2KI.10,10,200 - Success,--,
2023-08-17 10:25:08:133,2KI,2KI.11,11,200 - Success,--,
2023-08-17 10:25:08:596,2KI,2KI.12,12,200 - Success,--,
2023-08-17 10:25:08:629,2KI,2KI.13,13,200 - Success,--,
2023-08-17 10:25:08:652,2KI,2KI.14,14,200 - Success,--,
2023-08-17 10:25:08:731,2KI,2KI.15,15,200 - Success,--,
2023-08-17 10:25:09:158,2KI,2KI.16,16,200 - Success,--,
2023-08-17 10:25:09:186,2KI,2KI.17,17,200 - Success,--,
2023-08-17 10:25:09:232,2KI,2KI.18,18,200 - Success,--,
2023-08-17 10:25:09:280,2KI,2KI.19,19,200 - Success,--,
2023-08-17 10:25:09:709,2KI,2KI.20,20,200 - Success,--,
2023-08-17 10:25:09:788,2KI,2KI.21,21,200 - Success,--,
2023-08-17 10:25:09:845,2KI,2KI.22,22,200 - Success,--,
2023-08-17 10:25:09:863,2KI,2KI.23,23,200 - Success,--,
2023-08-17 10:25:10:283,2KI,2KI.24,24,200 - Success,--,
2023-08-17 10:25:10:339,2KI,2KI.25,25,200 - Success,--,
2023-08-17 10:25:10:369,1CH,1CH.1,1,200 - Success,--,
2023-08-17 10:25:10:415,1CH,1CH.2,2,200 - Success,--,
2023-08-17 10:25:10:901,1CH,1CH.3,3,200 - Success,--,
2023-08-17 10:25:10:947,1CH,1CH.4,4,200 - Success,--,
2023-08-17 10:25:10:979,1CH,1CH.5,5,200 - Success,--,
2023-08-17 10:25:11:198,1CH,1CH.6,6,200 - Success,--,
2023-08-17 10:25:11:663,1CH,1CH.7,7,200 - Success,--,
2023-08-17 10:25:11:686,1CH,1CH.9,9,200 - Success,--,
2023-08-17 10:25:11:707,1CH,1CH.8,8,200 - Success,--,
2023-08-17 10:25:11:733,1CH,1CH.10,10,200 - Success,--,
2023-08-17 10:25:12:160,1CH,1CH.12,12,200 - Success,--,
2023-08-17 10:25:12:196,1CH,1CH.13,13,200 - Success,--,
2023-08-17 10:25:12:220,1CH,1CH.11,11,200 - Success,--,
2023-08-17 10:25:12:244,1CH,1CH.14,14,200 - Success,--,
2023-08-17 10:25:12:711,1CH,1CH.15,15,200 - Success,--,
2023-08-17 10:25:12:791,1CH,1CH.17,17,200 - Success,--,
2023-08-17 10:25:12:819,1CH,1CH.16,16,200 - Success,--,
2023-08-17 10:25:12:845,1CH,1CH.18,18,200 - Success,--,
2023-08-17 10:25:13:337,1CH,1CH.19,19,200 - Success,--,
2023-08-17 10:25:13:357,1CH,1CH.22,22,200 - Success,--,
2023-08-17 10:25:13:374,1CH,1CH.20,20,200 - Success,--,
2023-08-17 10:25:13:398,1CH,1CH.21,21,200 - Success,--,
2023-08-17 10:25:13:857,1CH,1CH.24,24,200 - Success,--,
2023-08-17 10:25:13:879,1CH,1CH.23,23,200 - Success,--,
2023-08-17 10:25:13:899,1CH,1CH.25,25,200 - Success,--,
2023-08-17 10:25:13:927,1CH,1CH.26,26,200 - Success,--,
2023-08-17 10:25:14:385,1CH,1CH.29,29,200 - Success,--,
2023-08-17 10:25:14:415,1CH,1CH.27,27,200 - Success,--,
2023-08-17 10:25:14:443,2CH,2CH.1,1,200 - Success,--,
2023-08-17 10:25:14:465,1CH,1CH.28,28,200 - Success,--,
2023-08-17 10:25:14:875,2CH,2CH.2,2,200 - Success,--,
2023-08-17 10:25:14:898,2CH,2CH.3,3,200 - Success,--,
2023-08-17 10:25:15:2,2CH,2CH.4,4,200 - Success,--,
2023-08-17 10:25:15:44,2CH,2CH.5,5,200 - Success,--,
2023-08-17 10:25:15:521,2CH,2CH.7,7,200 - Success,--,
2023-08-17 10:25:15:549,2CH,2CH.6,6,200 - Success,--,
2023-08-17 10:25:15:570,2CH,2CH.8,8,200 - Success,--,
2023-08-17 10:25:15:592,2CH,2CH.9,9,200 - Success,--,
2023-08-17 10:25:15:993,2CH,2CH.10,10,200 - Success,--,
2023-08-17 10:25:16:72,2CH,2CH.11,11,200 - Success,--,
2023-08-17 10:25:16:96,2CH,2CH.12,12,200 - Success,--,
2023-08-17 10:25:16:119,2CH,2CH.13,13,200 - Success,--,
2023-08-17 10:25:18:914,2CH,2CH.15,15,200 - Success,--,
2023-08-17 10:25:19:25,2CH,2CH.14,14,200 - Success,--,
2023-08-17 10:25:19:71,2CH,2CH.16,16,200 - Success,--,
2023-08-17 10:25:19:105,2CH,2CH.17,17,200 - Success,--,
2023-08-17 10:25:19:585,2CH,2CH.18,18,200 - Success,--,
2023-08-17 10:25:19:625,2CH,2CH.19,19,200 - Success,--,
2023-08-17 10:25:19:660,2CH,2CH.20,20,200 - Success,--,
